"intact"	"nintact"	"<NA>"	"Total"
"1"	0	0.0150132469826317	0	0.00508880462981441
"2"	0	0.0229614365616721	0	0.00778287766912792
"3"	0	0.00618192522814248	0	0.00209539014168829
"4"	0	0.0656461583750368	0.0105263157894737	0.0223508281780084
"5"	0	0.00117750956726523	0	0.00039912193175015
"6"	0	0.0406240800706506	0.0105263157894737	0.0138694871283177
"7"	0	0.0256108330880188	0	0.00868090201556576
"<NA>"	1	0.822784810126582	0.978947368421053	0.939732588305727
"Total"	1	1	1	1
